State,Year,Quarter,Transaction_Type,Transaction_Count,Transaction_Amount
Arunachal Pradesh,2023,1,Retail,3193883,2962604076.6794558
Arunachal Pradesh,2023,1,Utility,1260713,392287985.02200335
Arunachal Pradesh,2023,2,Retail,4518172,3868143792.085184
Arunachal Pradesh,2023,2,Utility,1413721,454018762.4706393
Arunachal Pradesh,2023,2,P2P,4985211,16037191094.270794
Arunachal Pradesh,2023,3,P2P,6019719,16762630617.285736
Arunachal Pradesh,2023,3,Retail,5692334,4360837225.960386
Arunachal Pradesh,2023,3,Utility,1515279,513670364.3748132
Arunachal Pradesh,2023,4,P2P,6810909,19026613643.76567
Arunachal Pradesh,2023,4,Retail,6707771,5162465655.079903
Arunachal Pradesh,2023,4,Utility,1565683,582873672.6161299
Arunachal Pradesh,2024,1,P2P,7377899,20297775994.341846
Arunachal Pradesh,2024,1,Retail,7729487,5752553999.356636
Arunachal Pradesh,2024,1,Utility,1761139,642984820.5018914
Arunachal Pradesh,2024,2,Retail,9939346,6816566167.881161
Arunachal Pradesh,2024,2,Utility,1906208,734808227.2243292
Arunachal Pradesh,2024,2,P2P,8264639,22815675313.909077
Arunachal Pradesh,2024,3,P2P,10063903,23192051384.07518
Arunachal Pradesh,2024,3,Retail,12397130,7428333021.3110485
Arunachal Pradesh,2024,3,Utility,2058012,819807529.6908386
Arunachal Pradesh,2024,4,P2P,10737577,25822103124.055893
Arunachal Pradesh,2024,4,Retail,13968413,8222589629.560476
Arunachal Pradesh,2024,4,Utility,2084116,884994048.3434718
Arunachal Pradesh,2025,1,P2P,10857782,26813086463.35316
Arunachal Pradesh,2025,1,Retail,15250004,8454654943.378321
Arunachal Pradesh,2025,1,Utility,2299656,956107195.9325476
Arunachal Pradesh,2025,2,P2P,11005299,27643886032.930893
Arunachal Pradesh,2025,2,Retail,17910730,9911906409.441982
Arunachal Pradesh,2025,2,Utility,2235425,1017109387.8757071
Arunachal Pradesh,2025,3,P2P,12684279,29979448149.664356
Arunachal Pradesh,2025,3,Retail,21332176,11188580612.237747
Arunachal Pradesh,2025,3,Utility,2317779,1127712063.9830122
Arunachal Pradesh,2025,4,P2P,12859718,30909100846.09617
Arunachal Pradesh,2025,4,Utility,2328499,1186793113.0116506
Arunachal Pradesh,2025,4,Retail,20914837,11535106085.410067
Arunachal Pradesh,2026,1,P2P,12775009,31041684020.550102
